Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop
10001,72689,490013793E,559261,183089,78,NB16,0
10002,48461,490000108F,559505,168585,5,C902,0
10003,77150,490000108B,559315,174783,127,C903,0
10004,48037,490012451S,559639,182729,141,C904,0
10005,57538,490012451N,559612,168125,322,C904,0
10010,48458,490000114Y,559305,168967,141,C703,0
1000,91532,490000266G,559517,175063,177,0K08,0
10011,58713,490000114U,559654,177996,321,C703,0
10014,71829,490009485R,559495,177722,99,QT08,0
10015,54595,490009485Q,559448,188881,278,QT08,0
10016,71358,490003803W,559311,185972,254,E609,0
10017,53343,490003803E,559432,184603,88,E609,0
10019,54840,490011348E,559337,178601,83,K306,0
10023,47747,490012751E,559463,185465,106,K302,0
10024,55564,490012751W,559453,186004,286,K302,0
10028,54775,490014411W,559269,192117,294,K301,0
10031,54086,490006079E,559566,164229,124,K415,0
10032,48984,490003361W,559301,168691,295,K415,0
10037,55215,490014286E,559488,177667,130,K206,0
10038,49132,490004703W,559500,185378,299,K205,0
10041,48178,490014039E,559433,175064,101,K202,0
1005,73736,490001237G,559453,179738,248,LG02,0
1007,52849,490012452W,559305,192117,278,M814,0
1008,52652,490012452SH,559334,185908,103,M814,0
1010,55430,490005340K,559505,183083,66,D908,0
10107,76125,3700083,559671,168125,303,6Z11,0
1011,54763,490009035E,559261,168125,168,D902,0
10111,77093,3700085,559337,183083,124,6Z10,0
1013,74398,490006047D,559261,168125,319,R702,0
1014,53531,490004989C,559261,184966,139,R702,0
1017,77744,490013229P,559252,183089,349,C102,0
1023,55186,490013149K,559237,192117,14,TU08,0
10240,56141,490000127KA,559226,183391,23,RC09,0
10241,72081,490000127KB,559224,183300,201,RC09,0
10242,50012,490013254J,559215,189380,186,TW02,0
10243,59162,490010117W,559211,177667,255,6D02,0
10244,50268,490007053E,559204,177622,66,6G06,0
10258,47901,490010101S,559200,191958,118,PN05,0
1026,72076,490003351Q,559194,183570,11,0Q04,0
10260,71039,490007622M,559189,185145,252,DD16,0
10261,55897,490007622L,559186,185150,73,DD16,0
1027,73838,490011336S,559167,183569,163,0Q05,0
10281,53798,490001197A,559113,167949,5,LC09,0
10282,56317,490001197B,559011,167852,202,LC09,0
10283,72299,490004960N,559000,167781,58,LE14,0
10284,55063,490004647E,558949,169059,80,LG01,0
10287,48147,490004647N,558777,168951,357,LG06,0
10288,57612,490004647S,558775,168879,176,LG06,0
10289,72760,490009036S,558715,187624,150,YJ06,0
1029,72571,490013205W,558681,183083,287,WK06,0
10290,58626,490009668N,558628,187654,325,YJ06,0
10297,56388,490004188S,558589,187903,153,YA04,0
1030,72331,490001014B,558574,175652,217,M401,0
10300,59406,490011346N,558519,188269,356,YA03,0
10302,71309,490009667N,558488,188541,347,YA02,0
